"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Test for test-framework ","SQL tests","","0","0","4","0","0"
"Test for test-framework ","UI tests","Upload file","0","0","1","0","0"
"Test for test-framework ","UI tests","Rendered element","0","0","1","0","0"
"Test for test-framework ","UI tests","Download file","0","0","1","0","0"
"Test for test-framework","Http tests","Test update pet","0","0","1","0","0"
"Test for test-framework ","UI tests","Hidden Element","0","0","1","0","0"
"Test for test-framework","Http tests","Test delete pet","0","0","1","0","0"
"Test for test-framework ","UI tests","Simple Login","1","0","0","0","0"
"Test for test-framework ","UI tests","Context Menu","0","0","1","0","0"
"Test for test-framework","Http tests","Test Pets By Active Status","1","0","0","0","0"
"Test for test-framework ","UI tests","Checkboxes","0","0","2","0","0"
"Test for test-framework ","UI tests","Dropdown List","0","0","1","0","0"
"Test for test-framework ","UI tests","Drag and Drop","0","0","1","0","0"
