"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 26 11:12:06 GMT 2023","Fri May 26 11:12:06 GMT 2023","176","","Первые SQL тесты","","pro.test.SQLTest","checkSQL","Проверка имени сотрудника",""
"passed","Fri May 26 11:12:11 GMT 2023","Fri May 26 11:12:20 GMT 2023","9562","","Первые UI тесты","","pro.test.UiTests","testUpload","Проверка работы c выгрузкой файлов",""
"passed","Fri May 26 11:12:10 GMT 2023","Fri May 26 11:12:25 GMT 2023","14221","","Первые UI тесты","","pro.test.UiTests","testRendered","Проверка работы c подгружаемыми элементами",""
"passed","Fri May 26 11:12:05 GMT 2023","Fri May 26 11:12:19 GMT 2023","14489","","Первые UI тесты","","pro.test.UiTests","testDownload","Проверка работы c загрузкой файлов",""
"passed","Fri May 26 11:12:07 GMT 2023","Fri May 26 11:12:07 GMT 2023","7","","Первые SQL тесты","","pro.test.SQLTest","updateSQL","Обновление данных в таблице",""
"passed","Fri May 26 11:12:13 GMT 2023","Fri May 26 11:12:15 GMT 2023","1373","","Проверка petstore API","","pro.test.ApiTests","testUpdatePets","Проверка обновления данных о питомце",""
"passed","Fri May 26 11:12:11 GMT 2023","Fri May 26 11:12:24 GMT 2023","13848","","Первые UI тесты","","pro.test.UiTests","testHidden","Проверка работы со скрытыми элементами",""
"passed","Fri May 26 11:12:09 GMT 2023","Fri May 26 11:12:15 GMT 2023","5821","","Проверка petstore API","","pro.test.ApiTests","testDeletePets","Проверка удаления питомца",""
"failed","Fri May 26 11:12:10 GMT 2023","Fri May 26 11:12:25 GMT 2023","14951","","Первые UI тесты","","pro.test.UiTests","testLogin","Проверка успешной авторизации",""
"passed","Fri May 26 11:12:10 GMT 2023","Fri May 26 11:12:20 GMT 2023","9643","","Первые UI тесты","","pro.test.UiTests","testContextMenu","Проверка работы с ContextMenu",""
"failed","Fri May 26 11:12:11 GMT 2023","Fri May 26 11:12:13 GMT 2023","2122","","Проверка petstore API","","pro.test.ApiTests","testPetsByActiveStatusWithSchema","Проверка findByStatus со статусом available",""
"passed","Fri May 26 11:12:15 GMT 2023","Fri May 26 11:12:20 GMT 2023","5822","","Первые UI тесты","","pro.test.UiTests","testCheckboxes","Проверка работы Checkboxes [2] checkboxNumber=2",""
"passed","Fri May 26 11:12:10 GMT 2023","Fri May 26 11:12:19 GMT 2023","8848","","Первые UI тесты","","pro.test.UiTests","testDropdown","Проверка работы Dropdown",""
"passed","Fri May 26 11:12:10 GMT 2023","Fri May 26 11:12:20 GMT 2023","9544","","Первые UI тесты","","pro.test.UiTests","testDragAndDrop","Проверка работы DragAndDrop",""
"passed","Fri May 26 11:12:07 GMT 2023","Fri May 26 11:12:07 GMT 2023","9","","Первые SQL тесты","","pro.test.SQLTest","checkSQLJoin","Проверка default значений полей",""
"passed","Fri May 26 11:12:07 GMT 2023","Fri May 26 11:12:07 GMT 2023","13","","Первые SQL тесты","","pro.test.SQLTest","deleteSQL","Удаление записей",""
"passed","Fri May 26 11:12:09 GMT 2023","Fri May 26 11:12:20 GMT 2023","10813","","Первые UI тесты","","pro.test.UiTests","testCheckboxes","Проверка работы Checkboxes [1] checkboxNumber=1",""
